wheat_sown,wheat_produced_est,maize_sown,maize_produced_est,barley_sown,barley_produced_est,rye_sown,rye_produced_est,oats_sown,oats_produced_est
1950000,573388,350000,359802,2350000,711145,55000,18015,46000,9468
2000000,557523,375000,377782,2400000,654388,60000,18693,50000,11476
2050000,588680,400000,402029,2450000,790602,65000,20738,54000,12651
2100000,636666,425000,428255,2500000,781659,70000,21350,58000,13479
2150000,684653,450000,454481,2550000,772717,75000,21962,62000,14306
2200000,732639,475000,480707,2600000,763775,80000,22573,66000,15134
2250000,780625,500000,506933,2650000,754833,,,70000,15961
2300000,828611,525000,533159,2700000,745890,,,74000,16789
2350000,845985,550000,559246,2750000,736948,,,,
2400000,815278,575000,582424,,,,,,
2450000,784572,600000,605602,,,,,,
